Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs
M1VB93	M1VB93_CYAM1	CYME_CMR319C				CYME_CMR319C	Cyanidioschyzon merolae (strain 10D) (Red alga)	heme binding [GO:0020037]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	heme binding [GO:0020037]; oxygen binding [GO:0019825]; oxygen carrier activity [GO:0005344]		GO:0005344; GO:0015979; GO:0019825; GO:0020037
M1UT67	M1UT67_CYAM1	CYME_CMM039C				CYME_CMM039C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleic acid binding [GO:0003676]		nucleic acid binding [GO:0003676]		GO:0003676
M1VMQ9	M1VMQ9_CYAM1	CYME_CMT523C				CYME_CMT523C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V5N4	M1V5N4_CYAM1	CYME_CMM103C				CYME_CMM103C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VC00	M1VC00_CYAM1	CYME_CMS354C				CYME_CMS354C	Cyanidioschyzon merolae (strain 10D) (Red alga)	eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]		translation initiation factor activity [GO:0003743]	eukaryotic translation initiation factor 3 complex [GO:0005852]	GO:0003743; GO:0005852
M1UNH4	M1UNH4_CYAM1	CYME_CMB144C				CYME_CMB144C	Cyanidioschyzon merolae (strain 10D) (Red alga)	DNA binding [GO:0003677]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]	positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]	DNA binding [GO:0003677]		GO:0003677; GO:0032968
M1V750	M1V750_CYAM1	CYME_CMF114C				CYME_CMF114C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		GO:0004672; GO:0005524
M1VII6	M1VII6_CYAM1	CYME_CMT452C				CYME_CMT452C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; DNA replication [GO:0006260]	DNA replication [GO:0006260]	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]		GO:0003678; GO:0005524; GO:0006260
M1VDR4	M1VDR4_CYAM1	CYME_CMM099C				CYME_CMM099C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VE84	M1VE84_CYAM1	CYME_CMN065C				CYME_CMN065C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VC96	M1VC96_CYAM1	CYME_CMI268C				CYME_CMI268C	Cyanidioschyzon merolae (strain 10D) (Red alga)	endosome membrane [GO:0010008]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein transport [GO:0015031]	late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; protein transport [GO:0015031]		endosome membrane [GO:0010008]	GO:0010008; GO:0015031; GO:0032511
M1VKV9	M1VKV9_CYAM1	CYME_CMQ363C				CYME_CMQ363C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleus [GO:0005634]; ATP binding [GO:0005524]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; nucleic acid binding [GO:0003676]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]; ATP-dependent chromatin remodeling [GO:0043044]	ATP-dependent chromatin remodeling [GO:0043044]	ATP binding [GO:0005524]; hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides [GO:0016818]; nucleic acid binding [GO:0003676]; nucleosome binding [GO:0031491]; nucleosome-dependent ATPase activity [GO:0070615]	nucleus [GO:0005634]	GO:0003676; GO:0005524; GO:0005634; GO:0016818; GO:0031491; GO:0043044; GO:0070615
M1V5U0	M1V5U0_CYAM1	CYME_CMN153C				CYME_CMN153C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UVR9	M1UVR9_CYAM1	CYME_CMQ250C				CYME_CMQ250C	Cyanidioschyzon merolae (strain 10D) (Red alga)	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; metal ion binding [GO:0046872]; L-serine biosynthetic process [GO:0006564]	L-serine biosynthetic process [GO:0006564]	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; metal ion binding [GO:0046872]		GO:0006564; GO:0036424; GO:0036425; GO:0046872
M1V857	M1V857_CYAM1	CYME_CMJ201C				CYME_CMJ201C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]; fatty acid biosynthetic process [GO:0006633]	fatty acid biosynthetic process [GO:0006633]	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [GO:0016717]	integral component of membrane [GO:0016021]	GO:0006633; GO:0016021; GO:0016717
M1V7G7	M1V7G7_CYAM1	CYME_CMH058C				CYME_CMH058C	Cyanidioschyzon merolae (strain 10D) (Red alga)	GTP binding [GO:0005525]; translation initiation factor activity [GO:0003743]		GTP binding [GO:0005525]; translation initiation factor activity [GO:0003743]		GO:0003743; GO:0005525
M1VFV1	M1VFV1_CYAM1	CYME_CMP286C				CYME_CMP286C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V5Q5	M1V5Q5_CYAM1	CYME_CMM241C				CYME_CMM241C	Cyanidioschyzon merolae (strain 10D) (Red alga)	transcription factor TFIIF complex [GO:0005674]; translation initiation factor activity [GO:0003743]; transcription initiation from RNA polymerase II promoter [GO:0006367]	transcription initiation from RNA polymerase II promoter [GO:0006367]	translation initiation factor activity [GO:0003743]	transcription factor TFIIF complex [GO:0005674]	GO:0003743; GO:0005674; GO:0006367
M1VHI9	M1VHI9_CYAM1	CYME_CMS203C				CYME_CMS203C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V6S2	M1V6S2_CYAM1	CYME_CMR200C				CYME_CMR200C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; retrograde transport, endosome to Golgi [GO:0042147]	retrograde transport, endosome to Golgi [GO:0042147]		cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]	GO:0000938; GO:0005829; GO:0010008; GO:0042147
M1VD17	M1VD17_CYAM1	CYME_CMT592C				CYME_CMT592C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; calcium ion binding [GO:0005509]; transmembrane transport [GO:0055085]	transmembrane transport [GO:0055085]	calcium ion binding [GO:0005509]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]	GO:0005509; GO:0005743; GO:0016021; GO:0055085
M1UQZ4	M1UQZ4_CYAM1	CYME_CMI086C				CYME_CMI086C	Cyanidioschyzon merolae (strain 10D) (Red alga)	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; metal ion binding [GO:0046872]; L-serine biosynthetic process [GO:0006564]	L-serine biosynthetic process [GO:0006564]	D-phosphoserine phosphatase activity [GO:0036425]; L-phosphoserine phosphatase activity [GO:0036424]; metal ion binding [GO:0046872]		GO:0006564; GO:0036424; GO:0036425; GO:0046872
M1UNV1	M1UNV1_CYAM1	CYME_CMC181C				CYME_CMC181C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; protein transport [GO:0015031]	protein transport [GO:0015031]		chloroplast [GO:0009507]	GO:0009507; GO:0015031
M1V5W9	M1V5W9_CYAM1	CYME_CMN333C				CYME_CMN333C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]		ATP binding [GO:0005524]; phosphatidylinositol phosphate kinase activity [GO:0016307]		GO:0005524; GO:0016307
M1UWY3	M1UWY3_CYAM1	CYME_CMS519C				CYME_CMS519C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V6L2	M1V6L2_CYAM1	CYME_CMC111C				CYME_CMC111C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; DNA repair [GO:0006281]	DNA repair [GO:0006281]	ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]		GO:0003676; GO:0005524; GO:0006281
M1V9T9	M1V9T9_CYAM1	CYME_CMA034C				CYME_CMA034C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VI67	M1VI67_CYAM1	CYME_CMT234C				CYME_CMT234C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrion [GO:0005739]; ATP binding [GO:0005524]; cysteine desulfurase activity [GO:0031071]; iron-sulfur cluster binding [GO:0051536]; pyridoxal phosphate binding [GO:0030170]; zinc ion binding [GO:0008270]; [2Fe-2S] cluster assembly [GO:0044571]	[2Fe-2S] cluster assembly [GO:0044571]	ATP binding [GO:0005524]; cysteine desulfurase activity [GO:0031071]; iron-sulfur cluster binding [GO:0051536]; pyridoxal phosphate binding [GO:0030170]; zinc ion binding [GO:0008270]	mitochondrion [GO:0005739]	GO:0005524; GO:0005739; GO:0008270; GO:0030170; GO:0031071; GO:0044571; GO:0051536
M1UPS8	M1UPS8_CYAM1	CYME_CMF082C				CYME_CMF082C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]		ATPase activity [GO:0016887]; ATP binding [GO:0005524]	integral component of membrane [GO:0016021]	GO:0005524; GO:0016021; GO:0016887
M1UU87	M1UU87_CYAM1	CYME_CMN328C				CYME_CMN328C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VHT7	M1VHT7_CYAM1	CYME_CMS435C				CYME_CMS435C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VKY8	M1VKY8_CYAM1	CYME_CMQ434C				CYME_CMQ434C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UST4	M1UST4_CYAM1	CYME_CML170C				CYME_CML170C	Cyanidioschyzon merolae (strain 10D) (Red alga)	transferase activity, transferring glycosyl groups [GO:0016757]		transferase activity, transferring glycosyl groups [GO:0016757]		GO:0016757
M1VJW0	M1VJW0_CYAM1	CYME_CMO346C				CYME_CMO346C	Cyanidioschyzon merolae (strain 10D) (Red alga)	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; fatty acid alpha-hydroxylase activity [GO:0080132]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; fatty acid biosynthetic process [GO:0006633]	fatty acid biosynthetic process [GO:0006633]	fatty acid alpha-hydroxylase activity [GO:0080132]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]	GO:0005506; GO:0005789; GO:0006633; GO:0016021; GO:0020037; GO:0080132
M1V411	M1V411_CYAM1	CYME_CMC151C				CYME_CMC151C	Cyanidioschyzon merolae (strain 10D) (Red alga)	proton-transporting V-type ATPase, V1 domain [GO:0033180]; proton transmembrane transporter activity [GO:0015078]		proton transmembrane transporter activity [GO:0015078]	proton-transporting V-type ATPase, V1 domain [GO:0033180]	GO:0015078; GO:0033180
M1UWU8	M1UWU8_CYAM1	CYME_CMS160C				CYME_CMS160C	Cyanidioschyzon merolae (strain 10D) (Red alga)	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; metal ion binding [GO:0046872]		metal ion binding [GO:0046872]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]	GO:0005634; GO:0005737; GO:0005819; GO:0046872
M1V7W9	M1V7W9_CYAM1	CYME_CMI271C				CYME_CMI271C	Cyanidioschyzon merolae (strain 10D) (Red alga)	membrane [GO:0016020]; 1,2-diacylglycerol 3-beta-galactosyltransferase activity [GO:0046509]; glycolipid biosynthetic process [GO:0009247]	glycolipid biosynthetic process [GO:0009247]	1,2-diacylglycerol 3-beta-galactosyltransferase activity [GO:0046509]	membrane [GO:0016020]	GO:0009247; GO:0016020; GO:0046509
M1VC09	M1VC09_CYAM1	CYME_CMS375C				CYME_CMS375C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; magnesium ion binding [GO:0000287]; phospholipid transport [GO:0015914]	phospholipid transport [GO:0015914]	ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]	integral component of membrane [GO:0016021]	GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326
M1VH64	M1VH64_CYAM1	CYME_CMJ018C				CYME_CMJ018C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VK86	M1VK86_CYAM1	CYME_CMP252C				CYME_CMP252C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V7S6	M1V7S6_CYAM1	CYME_CMT380C				CYME_CMT380C	Cyanidioschyzon merolae (strain 10D) (Red alga)	methyltransferase activity [GO:0008168]; tRNA-5-taurinomethyluridine 2-sulfurtransferase [GO:0061708]; methylation [GO:0032259]; tRNA processing [GO:0008033]	methylation [GO:0032259]; tRNA processing [GO:0008033]	methyltransferase activity [GO:0008168]; tRNA-5-taurinomethyluridine 2-sulfurtransferase [GO:0061708]		GO:0008033; GO:0008168; GO:0032259; GO:0061708
M1VFP1	M1VFP1_CYAM1	CYME_CME162C				CYME_CME162C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; transferase activity [GO:0016740]		ATP binding [GO:0005524]; transferase activity [GO:0016740]		GO:0005524; GO:0016740
M1UVM3	M1UVM3_CYAM1	CYME_CMQ165C				CYME_CMQ165C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]		2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]	integral component of membrane [GO:0016021]	GO:0016021; GO:0046872; GO:0051537
M1V672	M1V672_CYAM1	CYME_CMP318C				CYME_CMP318C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; lipid metabolic process [GO:0006629]	lipid metabolic process [GO:0006629]		integral component of membrane [GO:0016021]	GO:0006629; GO:0016021
M1VL43	M1VL43_CYAM1	CYME_CMR100C				CYME_CMR100C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1VB65	M1VB65_CYAM1	CYME_CMF117C				CYME_CMF117C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; supramolecular complex [GO:0099080]; ATP binding [GO:0005524]; disordered domain specific binding [GO:0097718]; phosphoribulokinase activity [GO:0008974]; protein homodimerization activity [GO:0042803]; defense response to bacterium [GO:0042742]; reductive pentose-phosphate cycle [GO:0019253]; response to cold [GO:0009409]	defense response to bacterium [GO:0042742]; reductive pentose-phosphate cycle [GO:0019253]; response to cold [GO:0009409]	ATP binding [GO:0005524]; disordered domain specific binding [GO:0097718]; phosphoribulokinase activity [GO:0008974]; protein homodimerization activity [GO:0042803]	chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; supramolecular complex [GO:0099080]	GO:0005524; GO:0008974; GO:0009409; GO:0009535; GO:0009570; GO:0009941; GO:0019253; GO:0042742; GO:0042803; GO:0097718; GO:0099080
M1V7G4	M1V7G4_CYAM1	CYME_CMT050C				CYME_CMT050C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1UWD6	M1UWD6_CYAM1	CYME_CMR296C				CYME_CMR296C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VEP0	M1VEP0_CYAM1	CYME_CMC039C				CYME_CMC039C	Cyanidioschyzon merolae (strain 10D) (Red alga)	peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]		peroxidase activity [GO:0004601]; peroxiredoxin activity [GO:0051920]		GO:0004601; GO:0051920
M1VM60	M1VM60_CYAM1	CYME_CMS442C				CYME_CMS442C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1UVD1	M1UVD1_CYAM1	CYME_CMP311C				CYME_CMP311C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleus [GO:0005634]; reciprocal meiotic recombination [GO:0007131]	reciprocal meiotic recombination [GO:0007131]		nucleus [GO:0005634]	GO:0005634; GO:0007131
M1VBC9	M1VBC9_CYAM1	CYME_CMR404C				CYME_CMR404C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]			mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]	GO:0005739; GO:0045277
M1VI66	M1VI66_CYAM1	CYME_CML106C				CYME_CML106C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412
M1VFR7	M1VFR7_CYAM1	CYME_CMP203C				CYME_CMP203C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ribosome biogenesis [GO:0042254]	ribosome biogenesis [GO:0042254]			GO:0042254
M1UR76	M1UR76_CYAM1	CYME_CMI232C				CYME_CMI232C	Cyanidioschyzon merolae (strain 10D) (Red alga)	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; rRNA processing [GO:0006364]	rRNA processing [GO:0006364]	endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]		GO:0004222; GO:0004519; GO:0006364; GO:0046872
Q85G26	Q85G26_CYAM1	psbC	psbC				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]	photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]	chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; metal ion binding [GO:0046872]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]	GO:0009523; GO:0009535; GO:0009772; GO:0016021; GO:0016168; GO:0018298; GO:0045156; GO:0046872
M1VC72	M1VC72_CYAM1	CYME_CMT012C				CYME_CMT012C	Cyanidioschyzon merolae (strain 10D) (Red alga)	peroxisome [GO:0005777]; metal ion binding [GO:0046872]		metal ion binding [GO:0046872]	peroxisome [GO:0005777]	GO:0005777; GO:0046872
M1VG96	M1VG96_CYAM1	CYME_CMQ246C				CYME_CMQ246C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V8F0	M1V8F0_CYAM1	CYME_CMK223C				CYME_CMK223C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; tRNA modification [GO:0006400]	tRNA modification [GO:0006400]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]	chloroplast [GO:0009507]	GO:0003924; GO:0005525; GO:0006400; GO:0009507
M1VJL8	M1VJL8_CYAM1	CYME_CMO178C				CYME_CMO178C	Cyanidioschyzon merolae (strain 10D) (Red alga)	methyltransferase activity [GO:0008168]		methyltransferase activity [GO:0008168]		GO:0008168
M1V6G5	M1V6G5_CYAM1	CYME_CMQ292C				CYME_CMQ292C	Cyanidioschyzon merolae (strain 10D) (Red alga)	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]	GO:0003735; GO:0006412; GO:0015934
M1VA30	M1VA30_CYAM1	CYME_CMP288C				CYME_CMP288C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1V7K2	M1V7K2_CYAM1	CYME_CMH168C				CYME_CMH168C	Cyanidioschyzon merolae (strain 10D) (Red alga)	spliceosomal complex [GO:0005681]; U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]; mRNA splicing, via spliceosome [GO:0000398]	mRNA splicing, via spliceosome [GO:0000398]	U5 snRNA binding [GO:0030623]; U6 snRNA binding [GO:0017070]	spliceosomal complex [GO:0005681]	GO:0000398; GO:0005681; GO:0017070; GO:0030623
M1UPV0	M1UPV0_CYAM1	CYME_CMF122C				CYME_CMF122C	Cyanidioschyzon merolae (strain 10D) (Red alga)	iron-sulfur cluster binding [GO:0051536]; iron-sulfur cluster assembly [GO:0016226]	iron-sulfur cluster assembly [GO:0016226]	iron-sulfur cluster binding [GO:0051536]		GO:0016226; GO:0051536
M1VB22	M1VB22_CYAM1	CYME_CMR151C				CYME_CMR151C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; heme binding [GO:0020037]; metal ion binding [GO:0046872]		heme binding [GO:0020037]; metal ion binding [GO:0046872]	integral component of membrane [GO:0016021]	GO:0016021; GO:0020037; GO:0046872
M1VJF4	M1VJF4_CYAM1	CYME_CMO051C				CYME_CMO051C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		GO:0004674; GO:0005524
M1V667	M1V667_CYAM1	CYME_CMP289C				CYME_CMP289C	Cyanidioschyzon merolae (strain 10D) (Red alga)	oxidoreductase activity [GO:0016491]		oxidoreductase activity [GO:0016491]		GO:0016491
M1VJD1	M1VJD1_CYAM1	CYME_CMN330C				CYME_CMN330C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VLF3	M1VLF3_CYAM1	CYME_CMR318C				CYME_CMR318C	Cyanidioschyzon merolae (strain 10D) (Red alga)	mitochondrial matrix [GO:0005759]; 2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; iron-sulfur cluster assembly [GO:0016226]	iron-sulfur cluster assembly [GO:0016226]	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]	mitochondrial matrix [GO:0005759]	GO:0005506; GO:0005759; GO:0016226; GO:0051537
Q85G54	Q85G54_CYAM1	nblA	nblA				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]			chloroplast [GO:0009507]	GO:0009507
M1VKR4	M1VKR4_CYAM1	CYME_CMQ257C				CYME_CMQ257C	Cyanidioschyzon merolae (strain 10D) (Red alga)	CIA complex [GO:0097361]; iron-sulfur cluster assembly [GO:0016226]	iron-sulfur cluster assembly [GO:0016226]		CIA complex [GO:0097361]	GO:0016226; GO:0097361
M1UWK2	M1UWK2_CYAM1	CYME_CMR457C				CYME_CMR457C	Cyanidioschyzon merolae (strain 10D) (Red alga)	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]		DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	nucleosome [GO:0000786]; nucleus [GO:0005634]	GO:0000786; GO:0003677; GO:0005634; GO:0046982
M1V3T3	M1V3T3_CYAM1	CYME_CMB107C				CYME_CMB107C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1VHX4	M1VHX4_CYAM1	CYME_CMT026C				CYME_CMT026C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
M1UXG2	M1UXG2_CYAM1	CYME_CMT161C				CYME_CMT161C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; signal recognition particle, chloroplast targeting [GO:0080085]; protein import into chloroplast thylakoid membrane [GO:0045038]; response to light stimulus [GO:0009416]	protein import into chloroplast thylakoid membrane [GO:0045038]; response to light stimulus [GO:0009416]		chloroplast [GO:0009507]; signal recognition particle, chloroplast targeting [GO:0080085]	GO:0009416; GO:0009507; GO:0045038; GO:0080085
M1VCP7	M1VCP7_CYAM1	CYME_CMJ285C				CYME_CMJ285C	Cyanidioschyzon merolae (strain 10D) (Red alga)	ribosome [GO:0005840]			ribosome [GO:0005840]	GO:0005840
M1UPC2	M1UPC2_CYAM1	CYME_CME040C				CYME_CME040C	Cyanidioschyzon merolae (strain 10D) (Red alga)					
Q85G38	Q85G38_CYAM1						Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]			chloroplast [GO:0009507]	GO:0009507
M1VFM3	M1VFM3_CYAM1	CYME_CME113C				CYME_CME113C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; transferase activity, transferring glycosyl groups [GO:0016757]		transferase activity, transferring glycosyl groups [GO:0016757]	integral component of membrane [GO:0016021]	GO:0016021; GO:0016757
M1V3K0	M1V3K0_CYAM1	CYME_CMA070C				CYME_CMA070C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
M1V7X1	M1V7X1_CYAM1	CYME_CMI281C				CYME_CMI281C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]		2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]	integral component of membrane [GO:0016021]	GO:0016021; GO:0046872; GO:0051537
M1UVX8	M1UVX8_CYAM1	CYME_CMQ374C				CYME_CMQ374C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021
A0A125YYU1	A0A125YYU1_CYAM1	CYME_CMO102C				CYME_CMO102C	Cyanidioschyzon merolae (strain 10D) (Red alga)	integral component of membrane [GO:0016021]; inorganic diphosphatase activity [GO:0004427]; pyrophosphate hydrolysis-driven proton transmembrane transporter activity [GO:0009678]		inorganic diphosphatase activity [GO:0004427]; pyrophosphate hydrolysis-driven proton transmembrane transporter activity [GO:0009678]	integral component of membrane [GO:0016021]	GO:0004427; GO:0009678; GO:0016021
M1VL51	M1VL51_CYAM1	CYME_CMR123C				CYME_CMR123C	Cyanidioschyzon merolae (strain 10D) (Red alga)	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]	biosynthetic process [GO:0009058]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]		GO:0008483; GO:0009058; GO:0030170
