	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Function [CC]	Proteomes	Organism	Status	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs	Fragment	Gene encoded by	RNA editing	DNA binding	ChEBI (Cofactor)	Keywords	Interacts with	Post-translational modification	Features	Cross-reference (KEGG)
CMF046C	M1V732	M1V732_CYAM1	CYME_CMF046C				CYME_CMF046C	Similar to beta-tubulin folding cofactor D		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	beta-tubulin binding [GO:0048487]; GTPase activator activity [GO:0005096]; positive regulation of GTPase activity [GO:0043547]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	positive regulation of GTPase activity [GO:0043547]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	beta-tubulin binding [GO:0048487]; GTPase activator activity [GO:0005096]		GO:0005096; GO:0007021; GO:0007023; GO:0043547; GO:0048487						Reference proteome				cme:CYME_CMF046C;
CMF047C	M1V4J5	M1V4J5_CYAM1	CYME_CMF047C				CYME_CMF047C	Probable mercaptopyruvate sulfurtransferase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	transferase activity [GO:0016740]		transferase activity [GO:0016740]		GO:0016740						Pyruvate;Reference proteome;Transferase			Domain (2)	cme:CYME_CMF047C;
CMF048C	M1UPQ8	M1UPQ8_CYAM1	CYME_CMF048C				CYME_CMF048C	Similar to E3 ubiquitin protein ligase Itch		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1)	cme:CYME_CMF048C;
CMF050C	M1VB32	M1VB32_CYAM1	CYME_CMF050C				CYME_CMF050C	Similar to ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	methylation [GO:0032259]	methyltransferase activity [GO:0008168]		GO:0008168; GO:0032259						Methyltransferase;Reference proteome;Transferase			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMF050C;
CMF051C	M1VFT0	M1VFT0_CYAM1	CYME_CMF051C				CYME_CMF051C	Probable calcium/calmodulin-dependent protein kinase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]		GO:0004674; GO:0005524						ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Serine/threonine-protein kinase;Transferase			Binding site (1); Domain (2)	cme:CYME_CMF051C;
CMF052C	M1V733	M1V733_CYAM1	CYME_CMF052C				CYME_CMF052C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; lipid binding [GO:0008289]; lipid transport [GO:0006869]	lipid transport [GO:0006869]	lipid binding [GO:0008289]	integral component of membrane [GO:0016021]	GO:0006869; GO:0008289; GO:0016021						Lipid transport;Lipid-binding;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport			Compositional bias (3); Domain (2); Region (4); Transmembrane (2)	cme:CYME_CMF052C;
CMF053C	M1V4J7	M1V4J7_CYAM1	CYME_CMF053C				CYME_CMF053C	Similar to hormone-sensitive lipase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	hydrolase activity [GO:0016787]		hydrolase activity [GO:0016787]		GO:0016787						Hydrolase;Reference proteome			Active site (1); Compositional bias (1); Domain (1); Region (5)	cme:CYME_CMF053C;
CMF055C	M1UPR1	M1UPR1_CYAM1	CYME_CMF055C				CYME_CMF055C	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I)		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	GTP cyclohydrolase I activity [GO:0003934]; 7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; tetrahydrofolate biosynthetic process [GO:0046654]	7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; tetrahydrofolate biosynthetic process [GO:0046654]	GTP cyclohydrolase I activity [GO:0003934]		GO:0003934; GO:0035998; GO:0046654						Hydrolase;Reference proteome			Domain (1); Region (1)	cme:CYME_CMF055C;
CMF056C	M1VB35	M1VB35_CYAM1	CYME_CMF056C				CYME_CMF056C	NADH dehydrogenase type II		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	oxidoreductase activity [GO:0016491]		oxidoreductase activity [GO:0016491]		GO:0016491						Reference proteome			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMF056C;
CMF057C	M1VFT4	M1VFT4_CYAM1	CYME_CMF057C				CYME_CMF057C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (1); Compositional bias (3); Region (1)	cme:CYME_CMF057C;
CMF058C	M1V735	M1V735_CYAM1	CYME_CMF058C				CYME_CMF058C	Probable zinc transporter		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; cation transmembrane transporter activity [GO:0008324]		cation transmembrane transporter activity [GO:0008324]	integral component of membrane [GO:0016021]	GO:0008324; GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport			Region (2); Transmembrane (5)	cme:CYME_CMF058C;
CMF059C	M1V4J8	M1V4J8_CYAM1	CYME_CMF059C				CYME_CMF059C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	RNA binding [GO:0003723]		RNA binding [GO:0003723]		GO:0003723						Reference proteome			Region (1)	cme:CYME_CMF059C;
CMF060C	M1UPR5	M1UPR5_CYAM1	CYME_CMF060C				CYME_CMF060C	Similar to dishevelled associated activator of morphogenesis		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (3); Compositional bias (3); Domain (1); Region (4)	cme:CYME_CMF060C;
CMF061C	M1VB38	M1VB38_CYAM1	CYME_CMF061C				CYME_CMF061C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMF061C;
CMF062C	M1V736	M1V736_CYAM1	CYME_CMF062C				CYME_CMF062C	Mitochondrial general import pore subunit Tom40		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	mitochondrial outer membrane [GO:0005741]; protein transmembrane transporter activity [GO:0008320]; protein import into mitochondrial matrix [GO:0030150]	protein import into mitochondrial matrix [GO:0030150]	protein transmembrane transporter activity [GO:0008320]	mitochondrial outer membrane [GO:0005741]	GO:0005741; GO:0008320; GO:0030150						Membrane;Protein transport;Reference proteome;Transport			Compositional bias (1); Region (1)	cme:CYME_CMF062C;
CMF063C	M1V4K0	M1V4K0_CYAM1	CYME_CMF063C				CYME_CMF063C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Region (2); Transmembrane (1)	cme:CYME_CMF063C;
CMF065C	M1UPR9	M1UPR9_CYAM1	CYME_CMF065C				CYME_CMF065C	50S ribosomal protein L3, chloroplastic		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412						Reference proteome;Ribonucleoprotein;Ribosomal protein				cme:CYME_CMF065C;
CMF066C	M1VB41	M1VB41_CYAM1	CYME_CMF066C				CYME_CMF066C	Flavin-dependent tRNA:m5U methyltransferase trmFO	FUNCTION: Involved in the 5-carboxymethylaminomethyl modification (mnm(5)s(2)U34) of the wobble uridine base in mitochondrial tRNAs. {ECO:0000256|ARBA:ARBA00002739}.	UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	flavin adenine dinucleotide binding [GO:0050660]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; tRNA wobble uridine modification [GO:0002098]	methylation [GO:0032259]; tRNA wobble uridine modification [GO:0002098]	flavin adenine dinucleotide binding [GO:0050660]; methyltransferase activity [GO:0008168]		GO:0002098; GO:0008168; GO:0032259; GO:0050660					FAD [CHEBI:57692]	Coiled coil;FAD;Flavoprotein;Methyltransferase;Reference proteome;Transferase			Coiled coil (1); Compositional bias (2); Domain (2); Region (2)	cme:CYME_CMF066C;
CMF067C	M1VFU2	M1VFU2_CYAM1	CYME_CMF067C				CYME_CMF067C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMF067C;
CMF068C	M1V738	M1V738_CYAM1	CYME_CMF068C				CYME_CMF068C	Oxoglutarate dehydrogenase (succinyl-transferring) (EC 1.2.4.2)		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]; tricarboxylic acid cycle [GO:0006099]	tricarboxylic acid cycle [GO:0006099]	oxoglutarate dehydrogenase (succinyl-transferring) activity [GO:0004591]; thiamine pyrophosphate binding [GO:0030976]		GO:0004591; GO:0006099; GO:0030976					thiamine diphosphate [CHEBI:58937]	Oxidoreductase;Reference proteome;Thiamine pyrophosphate			Domain (1)	cme:CYME_CMF068C;
CMF069C	M1V4K2	M1V4K2_CYAM1	CYME_CMF069C				CYME_CMF069C	Condensin complex subunit 2		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	condensin complex [GO:0000796]; cytoplasm [GO:0005737]; cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]	cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]		condensin complex [GO:0000796]; cytoplasm [GO:0005737]	GO:0000796; GO:0005737; GO:0007076; GO:0051301						Cell cycle;Cell division;Chromosome;Cytoplasm;Mitosis;Reference proteome			Compositional bias (3); Region (3)	cme:CYME_CMF069C;
CMF070C	M1UPS3	M1UPS3_CYAM1	CYME_CMF070C				CYME_CMF070C	Probable mannosyl-oligosaccharide glucosidase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	mannosyl-oligosaccharide glucosidase activity [GO:0004573]; oligosaccharide metabolic process [GO:0009311]	oligosaccharide metabolic process [GO:0009311]	mannosyl-oligosaccharide glucosidase activity [GO:0004573]		GO:0004573; GO:0009311						Glycosidase;Hydrolase;Reference proteome			Compositional bias (1); Domain (2); Region (1)	cme:CYME_CMF070C;
CMF071C	M1VB44	M1VB44_CYAM1	CYME_CMF071C				CYME_CMF071C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMF071C;
CMF072C	M1VFU6	M1VFU6_CYAM1	CYME_CMF072C				CYME_CMF072C	Glutamate decarboxylase (EC 4.1.1.15)		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]; glutamate metabolic process [GO:0006536]	glutamate metabolic process [GO:0006536]	glutamate decarboxylase activity [GO:0004351]; pyridoxal phosphate binding [GO:0030170]		GO:0004351; GO:0006536; GO:0030170					pyridoxal 5'-phosphate [CHEBI:597326]	Decarboxylase;Lyase;Pyridoxal phosphate;Reference proteome			Modified residue (1); Region (1)	cme:CYME_CMF072C;
CMF073C	M1V740	M1V740_CYAM1	CYME_CMF073C				CYME_CMF073C	Probable high-affinity potassium transporter		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; potassium ion transmembrane transporter activity [GO:0015079]		potassium ion transmembrane transporter activity [GO:0015079]	integral component of membrane [GO:0016021]	GO:0015079; GO:0016021						Ion transport;Membrane;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport			Compositional bias (1); Region (1); Transmembrane (10)	cme:CYME_CMF073C;
CMF075C	M1V4K4	M1V4K4_CYAM1	CYME_CMF075C				CYME_CMF075C	Palmitoyltransferase (EC 2.3.1.225)		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]		protein-cysteine S-palmitoyltransferase activity [GO:0019706]	integral component of membrane [GO:0016021]	GO:0016021; GO:0019706						Acyltransferase;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix			Domain (1); Transmembrane (4)	cme:CYME_CMF075C;
CMF076C	M1UPS6	M1UPS6_CYAM1	CYME_CMF076C				CYME_CMF076C	Similar to dnaJ protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome;Signal			Chain (1); Domain (1); Signal peptide (1)	cme:CYME_CMF076C;
CMF078C	M1VB46	M1VB46_CYAM1	CYME_CMF078C				CYME_CMF078C	26S proteasome ATP-dependent regulatory subunit		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; proteasome complex [GO:0000502]; ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]; protein catabolic process [GO:0030163]	protein catabolic process [GO:0030163]	ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]	chloroplast [GO:0009507]; proteasome complex [GO:0000502]	GO:0000502; GO:0005524; GO:0009507; GO:0030163; GO:0036402						ATP-binding;Coiled coil;Nucleotide-binding;Proteasome;Reference proteome			Coiled coil (1); Domain (1)	cme:CYME_CMF078C;
CMF079C	M1VFU9	M1VFU9_CYAM1	CYME_CMF079C				CYME_CMF079C	Ribosomal RNA-processing protein 8 (EC 2.1.1.-)	FUNCTION: Probable methyltransferase required to silence rDNA. {ECO:0000256|RuleBase:RU365074}.	UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleolus [GO:0005730]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; rRNA processing [GO:0006364]	methylation [GO:0032259]; rRNA processing [GO:0006364]	methyltransferase activity [GO:0008168]	nucleolus [GO:0005730]	GO:0005730; GO:0006364; GO:0008168; GO:0032259						Methyltransferase;Nucleus;Reference proteome;S-adenosyl-L-methionine;Transferase;rRNA processing				cme:CYME_CMF079C;
CMF080C	M1V741	M1V741_CYAM1	CYME_CMF080C				CYME_CMF080C	ATP-grasp domain-containing protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]		ATP binding [GO:0005524]; metal ion binding [GO:0046872]		GO:0005524; GO:0046872						ATP-binding;Nucleotide-binding;Reference proteome			Domain (1)	cme:CYME_CMF080C;
CMF081C	M1V4K5	M1V4K5_CYAM1	CYME_CMF081C				CYME_CMF081C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome;Signal			Chain (1); Signal peptide (1)	cme:CYME_CMF081C;
CMF082C	M1UPS8	M1UPS8_CYAM1	CYME_CMF082C				CYME_CMF082C	Similar to oxygen regulated protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]		ATPase activity [GO:0016887]; ATP binding [GO:0005524]	integral component of membrane [GO:0016021]	GO:0005524; GO:0016021; GO:0016887						ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (2); Region (2); Transmembrane (1)	cme:CYME_CMF082C;
CMF083C	M1VB50	M1VB50_CYAM1	CYME_CMF083C				CYME_CMF083C	AP-1 complex subunit gamma		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	AP-1 adaptor complex [GO:0030121]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]		AP-1 adaptor complex [GO:0030121]	GO:0006886; GO:0016192; GO:0030121						Coiled coil;Cytoplasmic vesicle;Golgi apparatus;Membrane;Protein transport;Reference proteome;Transport			Coiled coil (1); Domain (1); Region (3)	cme:CYME_CMF083C;
CMF084C	M1VFV3	M1VFV3_CYAM1	CYME_CMF084C				CYME_CMF084C	Sm protein D1		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; RNA processing [GO:0006396]	RNA processing [GO:0006396]		nucleus [GO:0005634]	GO:0005634; GO:0006396						Nucleus;Reference proteome;Ribonucleoprotein			Domain (1)	cme:CYME_CMF084C;
CMF086C	M1V743	M1V743_CYAM1	CYME_CMF086C				CYME_CMF086C	Probable myo-inositol dehydrogenase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleotide binding [GO:0000166]		nucleotide binding [GO:0000166]		GO:0000166						Reference proteome			Compositional bias (1); Domain (2); Region (1)	cme:CYME_CMF086C;
CMF087C	M1V4K7	M1V4K7_CYAM1	CYME_CMF087C				CYME_CMF087C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (3)	cme:CYME_CMF087C;
CMF088C	M1UPT2	M1UPT2_CYAM1	CYME_CMF088C				CYME_CMF088C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMF088C;
CMF089C	M1VB53	M1VB53_CYAM1	CYME_CMF089C				CYME_CMF089C	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7)		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]; 1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228]	1-deoxy-D-xylulose 5-phosphate biosynthetic process [GO:0052865]; terpenoid biosynthetic process [GO:0016114]; thiamine biosynthetic process [GO:0009228]	1-deoxy-D-xylulose-5-phosphate synthase activity [GO:0008661]		GO:0008661; GO:0009228; GO:0016114; GO:0052865					Mg(2+) [CHEBI:18420]	Isoprene biosynthesis;Reference proteome;Thiamine biosynthesis			Domain (1)	cme:CYME_CMF089C;
CMF090C	M1VFV6	M1VFV6_CYAM1	CYME_CMF090C				CYME_CMF090C	Probable phosphatidylethanolamine methyltransferase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; phosphatidylethanolamine N-methyltransferase activity [GO:0004608]; methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656]	methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656]	phosphatidylethanolamine N-methyltransferase activity [GO:0004608]	integral component of membrane [GO:0016021]	GO:0004608; GO:0006656; GO:0016021; GO:0032259						Lipid biosynthesis;Lipid metabolism;Membrane;Methyltransferase;Phospholipid biosynthesis;Phospholipid metabolism;Reference proteome;Transferase;Transmembrane;Transmembrane helix			Compositional bias (1); Region (1); Transmembrane (8)	cme:CYME_CMF090C;
CMF092C	M1V745	M1V745_CYAM1	CYME_CMF092C				CYME_CMF092C	Uncharacterized protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (2)	cme:CYME_CMF092C;
CMF094C	M1V4K9	M1V4K9_CYAM1	CYME_CMF094C				CYME_CMF094C	TLC domain-containing protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Domain (1); Transmembrane (7)	cme:CYME_CMF094C;
CMF095C	M1UPT6	M1UPT6_CYAM1	CYME_CMF095C				CYME_CMF095C	TATA-box binding protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-templated transcription, initiation [GO:0006352]	DNA-templated transcription, initiation [GO:0006352]	DNA binding [GO:0003677]	nucleus [GO:0005634]	GO:0003677; GO:0005634; GO:0006352						DNA-binding;Nucleus;Reference proteome;Transcription			Compositional bias (2); Region (2)	cme:CYME_CMF095C;
CMF097C	M1VB56	M1VB56_CYAM1	CYME_CMF097C				CYME_CMF097C	D-ribulokinase, ribitol kinase		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	kinase activity [GO:0016301]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]		GO:0005975; GO:0016301; GO:0016773						Kinase;Reference proteome;Transferase			Domain (2)	cme:CYME_CMF097C;
CMF098C	M1VFW1	M1VFW1_CYAM1	CYME_CMF098C				CYME_CMF098C	Glycine cleavage system H protein	FUNCTION: The H protein shuttles the methylamine group of glycine from the P protein to the T protein. {ECO:0000256|RuleBase:RU364055}.	UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; glycine decarboxylation via glycine cleavage system [GO:0019464]	glycine decarboxylation via glycine cleavage system [GO:0019464]	ATP binding [GO:0005524]	glycine cleavage complex [GO:0005960]; mitochondrion [GO:0005739]	GO:0005524; GO:0005739; GO:0005960; GO:0019464					(R)-lipoate [CHEBI:83088]	Lipoyl;Mitochondrion;Reference proteome;Transit peptide			Domain (1); Modified residue (1)	cme:CYME_CMF098C;
CMF099C	M1V746	M1V746_CYAM1	CYME_CMF099C				CYME_CMF099C	Casein kinase-related protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		GO:0004672; GO:0005524						ATP-binding;Kinase;Nucleotide-binding;Reference proteome;Transferase			Binding site (1); Domain (1); Region (2)	cme:CYME_CMF099C;
CMF101C	M1V4L1	M1V4L1_CYAM1	CYME_CMF101C				CYME_CMF101C	Similar to Muconate cycloisomerase related protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	isomerase activity [GO:0016853]		isomerase activity [GO:0016853]		GO:0016853						Isomerase;Reference proteome			Region (1)	cme:CYME_CMF101C;
CMF102C	M1UPU0	M1UPU0_CYAM1	CYME_CMF102C				CYME_CMF102C	Similar to cell division cycle protein cdc16		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	cell division [GO:0051301]	cell division [GO:0051301]			GO:0051301						Cell cycle;Cell division;Reference proteome;TPR repeat			Domain (4); Repeat (5)	cme:CYME_CMF102C;
CMF103C	M1VB59	M1VB59_CYAM1	CYME_CMF103C				CYME_CMF103C	Clathrin heavy chain	FUNCTION: Clathrin is the major protein of the polyhedral coat of coated pits and vesicles. {ECO:0000256|PIRNR:PIRNR002290}.	UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]	clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]	clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]	GO:0005198; GO:0006886; GO:0016192; GO:0030130; GO:0030132; GO:0032051; GO:0071439						Coated pit;Coiled coil;Cytoplasmic vesicle;Membrane;Reference proteome			Coiled coil (1); Region (2); Repeat (7)	cme:CYME_CMF103C;
CMF104C	M1VFW4	M1VFW4_CYAM1	CYME_CMF104C				CYME_CMF104C	Similar to Tsi1-interacting protein TSIP1		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome				cme:CYME_CMF104C;
CMF105C	M1V748	M1V748_CYAM1	CYME_CMF105C				CYME_CMF105C	Similar to MtN3-like protein		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; carbohydrate transport [GO:0008643]	carbohydrate transport [GO:0008643]		integral component of membrane [GO:0016021]	GO:0008643; GO:0016021						Membrane;Reference proteome;Repeat;Sugar transport;Transmembrane;Transmembrane helix;Transport			Region (1); Transmembrane (7)	cme:CYME_CMF105C;
CMF107C	M1V4L3	M1V4L3_CYAM1	CYME_CMF107C				CYME_CMF107C	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 (tRNA(m1A58)-methyltransferase subunit TRM6)		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; tRNA (m1A) methyltransferase complex [GO:0031515]; tRNA methylation [GO:0030488]	tRNA methylation [GO:0030488]		nucleus [GO:0005634]; tRNA (m1A) methyltransferase complex [GO:0031515]	GO:0005634; GO:0030488; GO:0031515						Nucleus;Reference proteome			Compositional bias (4); Region (6)	cme:CYME_CMF107C;
CMF108C	M1UPU3	M1UPU3_CYAM1	CYME_CMF108C				CYME_CMF108C	Similar to cleavage stimulation factor subunit 2		UP000007014: Chromosome 6	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleus [GO:0005634]; RNA binding [GO:0003723]; mRNA 3'-end processing [GO:0031124]	mRNA 3'-end processing [GO:0031124]	RNA binding [GO:0003723]	nucleus [GO:0005634]	GO:0003723; GO:0005634; GO:0031124						Nucleus;RNA-binding;Reference proteome			Domain (1); Region (1)	cme:CYME_CMF108C;
